"State","Crime","Type of Crime","Year","Count"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1960","406"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1961","427"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1962","316"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1963","340"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1964","316"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1965","395"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1966","384"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1967","415"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1968","421"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1969","485"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1970","404"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1971","524"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1972","496"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1973","468"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1974","536"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1975","577"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1976","553"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1977","524"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1978","499"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1979","496"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1980","509"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1981","465"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1982","417"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1983","364"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1984","374"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1985","396"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1986","409"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1987","380"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1988","408"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1989","421"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1990","467"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1991","469"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1992","455"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1993","484"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1994","501"
"Alabama","Murder and nonnegligent Manslaughter","Violent Crime","1995","475"
